ID,Object,Attempt1,Attempt2,Attempt3,Attempt4,Attempt5,Average,Median,Height (cm),Weight (g),Contact Area (cm^2)
1,Aluminum Cup,0.944,0.913,0.922,0.955,0.888,0.9244,0.922,18,304,153.86
2,Plastic Box(F),0.608,0.683,0.63,0.663,0.575,0.6318,0.63,5,322,119
3,Plastic Box(E),0.805,0.814,0.768,0.806,0.603,0.7592,0.805,5,22,119
4,Plastic Bottle (F),0.909,0.857,0.834,0.888,0.919,0.8814,0.888,17,319,63.585
5,Plastic Bottle (E),0.725,0.763,0.884,0.82,0.687,0.7758,0.763,17,29,63.585
6,Paper cup (F),0.625,0.64,0.508,0.555,0.544,0.5744,0.555,9.5,54,23.3616
7,Snack Bag,0.485,0.619,0.316,0.526,0.208,0.4308,0.485,3.5,16,187.5
8,Plastic Cup (F),0.933,0.984,0.883,0.842,0.964,0.9212,0.933,16.5,308,94.985
9,Plastic Cup (E),0.841,0.932,0.905,0.862,0.823,0.8726,0.862,16.5,23,94.985
10,Toy Car,0.936,0.916,0.906,0.917,0.96,0.927,0.917,9,173,12
